Country Code,Country,President,,Population,PopulationRating,Motto,Nationalities,GovernmentStructureType,GovernmentPreception,GovermentCorruption,PresidentialTerm,LeaderTitleType,MilitaryServices,MilitaryBudget,IntelligenceServices,IntelligenceBudget,CapitalPunishmentType,MediaFreedom ,LawEnforcement,LawEnforcementBudget,GDPNational,GDPPerCaptia,Healthcare,HigherEducation,SocialDevopment,Lifestyle,TerrorismActivity,CyberCapabilities ,DigitalDevelopment,Science,Cloning,LSWActivity,LSWRegulations,Vigilantism,Gender
127,Nepal,Bikesh Thapa,,29136808,51,Mother and motherland are greater than heaven,Nepalese,         Federal Democratic Republic,Hybrid Regime,34,5,President,27,36,20,32,Inactive,65,20,26,44,31,50,52,60,76,46,28,30,20,Regulated,45,Regulated,Regulated,Male
147,Equatorial Guinea,Marcial Ncogo,,1402985,30,"Unity, Peace, Justice",Equatorial Guinean,Republic,Authoritarian Regime,20,7,President,21,31,20,30,Inactive,44,35,39,40,43,50,46,59,57,0,20,37,26,Regulated,26,Regulated,Banned,Male
103,Cambodia,Sovannara Chea,,16718965,48,"Nation, Religion,King",Cambodian,Constitutional Monarchy,Authoritarian Regime,25,0, King,30,37,20,32,Inactive,53,42,38,43,33,50,48,59,69,0,20,34,53,Regulated,26,Banned,Regulated,
90,Myanmar,Thura Aung,,54409800,56,Happiness through harmony,Burmese,Republic,Authoritarian Regime,29,5,President,50,49,20,34,Rare,53,45,39,48,32,50,46,58,71,78,20,34,28,Regulated,62,Regulated,Banned,
73,Zambia,Thura Aung,,18383955,49,"One Zambia, One Nation",Zambian,Republic,Hybrid Regime,34,5,President,32,38,20,32,Rare,61,26,29,43,32,59,55,58,43,0,55,29,24,Regulated,34,Regulated,Banned,
85,Kenya,,,53771296,56,All pull together,Kenyan,Republic,Hybrid Regime,33,5,President,36,43,20,35,Rare,66,25,30,50,34,50,53,57,75,61,49,37,38,Regulated,60,Regulated,Regulated,
75,Republic of the Congo,,,89561403,58,"Unity, Work, Progress",Congolese,Republic,Authoritarian Regime,22,4,President,39,43,20,33,Inactive,61,48,35,46,22,35,49,57,38,67,20,20,20,Legal,68,Regulated,Regulated,
74,Zimbabwe,Mukuka Mwamba,,14862924,48,"Unity, Freedom, Work",Zimbabwean,Parliamentary Democracy,Authoritarian Regime,24,5,President,31,37,20,32,Active,56,21,27,43,33,32,58,57,71,0,20,28,32,Legal,35,Legal,Banned,
3,Angola,Rafael Mendonça,,32864556,52,"Each endeavouring, all achieving",Angolan,Republic,Authoritarian Regime,32,5,President,42,45,20,34,Inactive,65,67,51,47,35,30,47,57,73,20,20,22,25,Legal,48,Banned,Regulated,
151,Solomon Islands,Jayan Baiabe,,686884,26,To lead is to serve,Solomon Islander,Parliamentary democracy,Hybrid Regime,44,5,Governor-General,24,25,20,23,Inactive,43,42,38,25,34,65,47,56,40,0,0,21,20,Regulated,27,Regulated,Regulated,Female
102,Cameroon,,,26545863,51,"Peace, Work, Fatherland",Cameroonian,Republic,Authoritarian Regime,26,7,President,29,37,20,32,Rare,56,23,28,44,32,35,54,56,71,74,32,28,35,Legal,44,Regulated,Banned,
60,Syria,,,17500658,48,"Unity, Freedom, Socialism",Syrian,Republic,Authoritarian Regime,20,7,President,48,46,40,42,Active,32,76,54,43,31,20,40,56,32,82,20,33,20,Legal,32,Banned,Legal,
150,Papua New Guinea,Agi Dabinyaba,,8947024,43,Unity in Diversity,Papua New Guinean,Parliamentary democracy,Flawed Democracy,32,5,Monarch,24,34,20,32,Rare,75,10,23,43,35,50,43,55,60,0,22,20,20,Regulated,23,Regulated,Regulated,Male
42,Pakistan,,,220892340,76," Faith, Unity, Discipline",Pakistani,Federal Republic,Hybrid Regime,29,5,President,74,65,20,38,Inactive,53,54,43,55,32,35,40,55,57,78,42,32,45,Legal,82,Banned,Banned,
152,Uganda,Joseph Mugisha,,45741007,55,For God and My Country,Ugandan,Republic,Hybrid Regime,28,5,President,31,38,20,32,Active,58,34,28,44,22,50,52,54,73,41,54,26,70,Regulated,57,Regulated,Banned,Male
139,Mauritania,Boubou N'diaye,,4649658,36,"Fraternity, Justice",Mauritanian,Military junta,Authoritarian Regime,29,5,President,23,31,20,29,Rare,67,76,54,38,31,35,39,54,38,20,20,20,20,Legal,34,Regulated,Regulated,Male
46,Rwanda,,,12952218,47,"Unity, Work, Patriotism",Rwandan,Republic,Authoritarian Regime,54,5,President,28,34,20,30,Inactive,49,67,47,40,26,65,45,54,51,20,33,30,22,Banned,26,Regulated,Regulated,
13,Benin,,,12123200,47,"Fellowship, Justice, Labour",Beninese,Republic,Hybrid Regime,44,5,President,23,33,20,31,Inactive,61,68,48,42,28,50,47,54,53,31,54,25,28,Regulated,20,Regulated,Regulated,
40,Nigeria, Emmanuel Ekpe,,206139589,75,"Unity and Faith, Peace and Progress",Nigerian,Federal Republic,Hybrid Regime,25,4,President,52,55,20,39,Active,60,87,61,58,35,35,49,53,75,82,54,31,50,Legal,88,Banned,Regulated,Male
32,Ivory Coast,,,26540905,51,"Unity, Discipline, Labor",Ivorian,Republic,Hybrid Regime,38,5,President,28,38,20,34,Inactive,71,77,55,47,33,50,45,53,70,43,31,33,20,Regulated,31,Regulated,Banned,
124,Madagascar,Robert Ralison,,27691018,51,"Love, Ancestral-land, Progress",Malagasy,Republic,Hybrid Regime,28,5,President,23,32,20,31,Inactive,71,72,47,41,21,35,48,52,60,0,20,22,28,Legal,44,Banned,Regulated,Male
108,Djibouti,,,988000,29,"Unity, Equality, Peace",Djibouti,Republic,Authoritarian Regime,32,5,President,20,27,20,27,Inactive,21,36,36,34,35,50,32,52,35,0,32,28,26,Regulated,20,Banned,Legal,
63,Tanzania,,,59734218,57,Freedom and Unity,Tanzanian,Republic,Hybrid Regime,40,5,President,28,38,20,34,Rare,59,45,38,47,31,50,42,52,75,45,20,26,35,Regulated,31,Banned,Regulated,
136,Togo,Donou  Romao,,8278724,43,"Work, liberty, homeland",Tongan,Constitutional Monarchy,Authoritarian Regime,31,5,President,22,29,20,28,Inactive,70,58,41,36,24,35,51,51,41,20,20,22,34,Legal,29,Regulated,Regulated,Male
118,Haiti,Roosevelt Mayard,,11402528,47,"Liberty, equality, fraternity",Haitian,Republic,Hybrid Regime,22,5,President,22,32,20,31,Inactive,68,56,42,42,27,20,45,51,47,0,20,26,22,Legal,26,Regulated,Regulated,Male
57,Sudan,,,43849260,54,Victory is Ours,Sudanese,Federal Republic,Authoritarian Regime,21,5,President,40,44,20,34,Active,47,28,31,47,33,35,34,51,32,20,20,22,20,Legal,55,Regulated,Legal,
48,Senegal,,,16743927,48,"One people, one goal, one faith",Senegalese,Republic,Hybrid Regime,42,5,President,22,33,20,32,Inactive,74,43,38,43,33,50,34,51,51,20,20,33,20,Regulated,41,Regulated,Regulated,
96,Afghanistan,,,38928345,53,He is the messenger of God,Afghan,Republic,Authoritarian Regime,20,5,President,27,35,20,32,Active,59,60,41,43,21,20,41,49,69,90,20,20,20,Legal,53,Banned,Banned,
125,Malawi,John Yobe,,19129952,49,Unity and Freedom,Malawian,Multiparty Democracy,Hybrid Regime,36,5,President,21,31,20,31,Rare,71,27,24,41,21,50,47,48,42,0,27,23,21,Regulated,38,Regulated,Banned,Male
117,Guinea-Bissau,Ido,,1968001,30,"Unity, Struggle, Progress",Guinea-Bissauan,Republic,Authoritarian Regime,22,5,President,25,25,20,23,Inactive,67,42,34,25,25,35,35,48,75,0,20,28,21,Legal,22,Regulated,Banned,Male
87,Liberia,,,5057681,37,The love of liberty brought us here,Liberian,Republic,Hybrid Regime,31,6,President,20,26,20,26,Rare,66,78,50,32,22,35,42,48,36,0,20,20,22,Legal,28,Regulated,Legal,
21,Ethiopia,,,114963588,69,Ethiopia holds up her hands unto God,Ethiopian,Federal Republic,Authoritarian Regime,41,6,President,43,46,20,35,Active,66,67,47,49,26,35,34,48,73,37,32,20,42,Legal,75,Regulated,Banned,
19,Congo,,,5618087,38,"Justice, Peace, Work",Congolese,Republic,Authoritarian Regime,24,4,President,27,34,20,30,Inactive,51,51,43,40,34,30,54,48,70,0,0,20,21,Legal,39,Banned,Banned,
94,Guinea,,,13132795,48,"Work, Justice, Solidarity",Guinean,Republic,Authoritarian Regime,26,6,President,21,32,20,31,Inactive,64,46,37,42,28,35,35,47,61,0,20,31,23,Legal,31,Banned,Banned,
72,Yemen,,,29825964,51,"God, Homeland, Revolution, Unity",Yemeni ,Republic,Authoritarian Regime,20,7,Chairman,37,41,20,32,Active,46,85,58,44,30,20,35,47,69,58,0,20,24,Legal,45,Banned,Banned,
112,Eritrea,Alemseged Alexander,,3546421,34,Victory to the Masses!,Eritrean,transitional government,Authoritarian Regime,23,5,President,24,27,20,25,Rare,20,34,34,30,34,20,26,45,44,0,20,27,25,Legal,29,Banned,Banned,Male
100,Burkina Faso,,,20903273,50,"Unity, Progress, Justice",Burkinabe,Parliamentary Republic,Authoritarian Regime,44,5,President,22,33,20,32,Rare,76,57,41,43,24,50,31,45,64,82,20,20,42,Regulated,39,Banned,Banned,
50,Sierra Leone,,,7976983,42,"Unity, freedom, justice",Sierra Leonean,Constitutional Democracy,Hybrid Regime,35,5,President,20,29,20,29,Rare,70,73,47,37,21,35,40,45,37,0,0,20,20,Legal,22,Legal,Legal,
39,Mozambique,,,36910560,52,None,Mozambican,Republic,Authoritarian Regime,25,5,President,27,35,20,31,Inactive,64,27,24,42,21,35,35,45,65,74,20,24,25,Legal,47,Regulated,Banned,
143,Western Sahara,,,597339,22,None,,Republic,Hybrid Regime,42,0,General,22,37,20,36,Rare,56,73,55,51,36,58,28,44,39,0,20,28,20,Regulated,22,Banned,Banned,
141,South Sudan,Akeuch Jock,,11193725,46,"Justice, Liberty, Prosperity",South Sudanese,Republic,Authoritarian Regime,20,5,President,30,37,20,32,Active,54,45,33,43,20,20,30,43,36,0,0,20,20,Legal,31,Legal,Legal,Male
126,Mali,Malick Traore,,20150843,50,"One people, one goal, one faith",Malian,Republic,Authoritarian Regime,26,5,President,30,37,20,32,Rare,66,33,31,43,28,35,28,43,68,81,20,26,20,Legal,39,Banned,Banned,Male
101,Burundi,,,11890784,47,"Unity, Work, Progress",Burundian,Republic,Authoritarian Regime,22,7,President,21,27,20,27,Inactive,52,89,55,33,21,20,40,43,37,42,0,20,42,Legal,28,Banned,Banned,
142,Central African Republic,Romaric Moboka,,4829767,36,"Unity, Dignity, Work",Central African,Republic,Authoritarian Regime,26,5,President,21,26,20,26,Rare,58,41,31,31,21,20,35,39,35,0,20,20,20,Legal,20,Banned,Legal,Male
97,Chad,,,16425864,48,"Unity, Work, Progress",Chadian,Republic,Authoritarian Regime,20,6,President,33,37,20,31,Inactive,59,54,39,41,24,20,28,39,58,63,20,20,21,Legal,31,Banned,Banned,
91,Niger,,,24206644,51,"Fraternity, Work, Progress",Nigerien,Republic,Authoritarian Regime,32,5,President,52,47,20,31,Rare,71,33,27,41,21,35,24,39,49,78,23,20,20,Legal,39,Regulated,Banned,
52,Somalia,,,15893222,48,Arise Somalis!,Somali,in the process of building a federated parliamentary republic,Authoritarian Regime,20,5,President,20,25,20,25,Active,54,51,36,29,21,20,28,36,38,83,0,20,28,Legal,22,Banned,Banned,
138,Turkmenistan,Igor Korobko,,6031200,40,Turkmenistan is the motherland of Neutrality,Turkmen,Parliamentary Democracy,Authoritarian Regime,20,7,President,36,41,20,33,Inactive,20,54,51,46,47,58,65,20,79,0,0,20,21,Legal,24,Regulated,Banned,Male
41,North Korea,,,25778816,51,Strong and Prosperous Nation,North Korean,Communist State,Authoritarian Regime,20,5,President of State Affairs,53,48,80,62,Active,20,31,27,43,22,40,35,20,25,0,83,25,20,Legal,41,Legal,Banned,
14,Bolivia,,,11673021,47,Unity makes strength,Bolivian,Republic,Hybrid Regime,28,5,President,36,40,20,32,Inactive,64,31,34,44,36,58,66,20,71,0,31,42,24,Regulated,20,Banned,Regulated,
